description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
SEDAL AC BOMBA ARGAN 12X340ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,TIMOTEI,,,PRODUCTOS ASEO PERSONAL,,UNILEVER CHILE LIMITADA.
VO5 GEL FIJADOR MEN 12X500G,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,GEL PARA CABELLO,VO5,,,PRODUCTOS ASEO PERSONAL,,UNILEVER CHILE LIMITADA.
REXONA FM AER AP FOOTBALL 12X90G 150ML,CUIDADO PERSONAL,PERFUMERIA,DESODORANTE HOMBRE,REXONA,FOOTBAL,AEROSOL,PERFUMERIA,DESODORANTE FOOTBAL REXONA 90GR,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS ROSA 12X900ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS AZUL 12X900ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,AZUL,BOTELLA,ARTICULOS DE ASEO PISO,LIMPIAPISOS AZUL RINSO 900ML,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS LAVANDA 12X900ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS LILAS 12X900ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS ROSA 8X1.8L,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS LAVANDA 8X1.8L,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
RINSO LIMP PISOS LILAS 8X1.8L,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,RINSO,,,ARTICULOS DE ASEO PISO,,UNILEVER CHILE LIMITADA.
AXE DEO AER AP COLLISION 12X90G 152ML,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,QUICK,,,PERFUMERIA,,UNILEVER CHILE LIMITADA.
PROTECTOR NOSOTRAS CORTO 6X6X15 UN,CUIDADO PERSONAL,PROTECCION FEMENINA,PROTECTORES DIARIOS,NOSOTRAS,CORTO,PAQUETE,TOALLAS HIGIENICAS,PROTECTORES DIARIOS CORTO NOSOTRAS 15UN,PRODUCTOS FAMILIA CHILE SPA
T.H.NOSOTRAS BUENAS NOCHES 24X8 UN,CUIDADO PERSONAL,PROTECCION FEMENINA,TOALLAS HIGIENICAS,NOSOTRAS,BUENAS NOCHES,PAQUETE,TOALLAS HIGIENICAS,T.HIGIENICA BUENAS NOCHES NOSOTRAS 8UN,PRODUCTOS FAMILIA CHILE SPA
JABON BARRA BELALIA HUMECT BERRIES 95GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,BELALIA,,,PRODUCTOS ASEO PERSONAL,,BELALIA SPA
JABON BARRA BELALIA HUMECT VAINILLA 95GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,BELALIA,,,PRODUCTOS ASEO PERSONAL,,BELALIA SPA
JABON BARRA BELALIA HUMECT COCO VERBENA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,BELALIA,,,PRODUCTOS ASEO PERSONAL,,BELALIA SPA
CREMA MANOS BELALIA AROMA VAINILLA 65ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,CERA DEPILATORIA,BELALIA,,,PRODUCTOS ASEO PERSONAL,,BELALIA SPA
CREMA MANOS BELALIA AROMA COCO VERBENA65,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,CERA DEPILATORIA,BELALIA,,,PRODUCTOS ASEO PERSONAL,,BELALIA SPA
