description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
Z. P. CORAL 10/110 PRIMAVERA,CUIDADO PERSONAL,PERFUMERIA,COLONIAS,SIN MARCA,,,,,COMERCIAL DAVIS S.A.
Z. P. CORAL 10/110 TEMPESTAD,CUIDADO PERSONAL,PERFUMERIA,COLONIAS,SIN MARCA,,,,,COMERCIAL DAVIS S.A.
Z-CERA ARELA SACHET NATURAL 24X225 GR,ASEO Y LIMPIEZA,CERAS Y BETUNES,CERA CREMA,ARELA,,,,,CLOROX CHILE S.A.
Z. CERA ARELA 24/225 SACHET INCOLORA,ASEO Y LIMPIEZA,CERAS Y BETUNES,CREMA,ARELA,,,,,CLOROX CHILE S.A.
Z. CALDO KNORR DISPLAY 18/1 GALLINA,ALIMENTOS,CALDOS,TIRA,SIN MARCA,,,,,
Z. AMPOLLETA GEN.ELEC.15/10/1 75 W.,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,SIN MARCA,,,,,GENERAL ELECTRIC DE CHILE S.A.
Z. AMPOLLETA GEN.ELEC.15/10/1 60 W.,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,SIN MARCA,,,,,GENERAL ELECTRIC DE CHILE S.A.
Z. AMPOLLETA GEN.ELEC.15/10/1 40 W.,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,SIN MARCA,,,,,GENERAL ELECTRIC DE CHILE S.A.
Z. AMPOLLETA PHILIPS 10/25 W,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,PHILLIPS,,,,,PHILIPS CHILENA S.A.
ALIM COLADOS NESTLE 12/1 CARNE/VERD,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,NESTLE,CARNE VERDURAS,FRASCO,ALIMENTOS INFANTILES,COLADOS CARNE VERDURAS NESTLE 132GR,NESTLE CHILE S.A.
Z. ALIMENTOS COLADOS MIX 8X6X132 GRS,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,NESTLE,,,,,NESTLE CHILE S.A.
Z. ALIMENTO COLADO+POSTRE NESTLE,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,NESTLE,,,,,NESTLE CHILE S.A.
Z. SALSA MAGGI SOBRE 24X100 CC,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,SIN MARCA,,,,,NESTLE CHILE S.A.
Z. SALSA MAGGI DOYPACK 12X350,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,SIN MARCA,,,,,NESTLE CHILE S.A.
Z. SOPA P UNO MAGGI CONSOM CRUTONES 6X24,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. SOPAS PARA UNO ARVEJA CRUTONES 24X19,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. P. PASTA DENTAL PEP ACCI.GLOBAL100,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. PASTA DENTAL PEP CEPILLO 24X14G,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
CALDO MAGGI TIRA CARNE 36X48X10,ALIMENTOS,CALDOS,CALDO,MAGGI,CARNE,DISPLAY,CALDOS,CALDO CARNE MAGGI 48UN,NESTLE CHILE S.A.
Z. P. DENTAL PEP 30/100 SARRO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DENTAL PEP 30/100 GEL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. CALDO PACK 25/2+1UD.DELICIAS DE POLLO,ALIMENTOS,CALDOS,DISPLAY,MAGGI,,,,,NESTLE CHILE S.A.
Z. CERA NUGGETT TARRO 24/450 TARRO NATUR,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,RECKITT BENCKISER CHILE S.A.
Z. CERA NUGGETT SACHET 10 /480 NATURAL,ASEO Y LIMPIEZA,CERAS Y BETUNES,CREMA,NUGGET,,,,,RECKITT BENCKISER CHILE S.A.
Z. CERA NUGGETT SACHET INCOLORA 10X480CC,ASEO Y LIMPIEZA,CERAS Y BETUNES,CREMA,NUGGET,,,,,RECKITT BENCKISER CHILE S.A.
Z. CERA ARELA LIQUIDA ROJA 10X480 CC,ASEO Y LIMPIEZA,CERAS Y BETUNES,LIQUIDA,ARELA,,,,,CLOROX CHILE S.A.
Z. CERA ARELA LIQUIDA INCOLORA 24X900,ASEO Y LIMPIEZA,CERAS Y BETUNES,LIQUIDA,ARELA,,,,,CLOROX CHILE S.A.
Z. CERACOL NATURAL 10X350  ARELA,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,
Z. CERACOL CAOBA 10X350,ASEO Y LIMPIEZA,CERAS Y BETUNES,LIQUIDA,SIN MARCA,,,,,
Z. CERA CASINO PAN  CAOBA 24X500 ML,ASEO Y LIMPIEZA,CERAS Y BETUNES,CREMA,CASINO,,,,,EMPRESAS DEMARIA S.A.
Z. VIRUTILLA LIQUIDA 12X900 VIRGINIA,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,EMPRESAS DEMARIA S.A.
Z. CERA NUGGETT TARRO 12/900 NATURAL,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,RECKITT BENCKISER CHILE S.A.
Z. HARPIC LIQUIDO LAVANDA 12X500 ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LIMPIADOR MULTIUSO,HARPIC,,,,,RECKITT BENCKISER CHILE S.A.
Z. LYSOL LIQUIDO SACHET LAVANDA 24X150ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LIMPIA PISOS,LYSOL,,,,,RECKITT BENCKISER CHILE S.A.
Z. LYSOL LIQUIDO SACHET NARANJA 24X150ML,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LIMPIA PISOS,LYSOL,,,,,RECKITT BENCKISER CHILE S.A.
FIDEO CAROZZI CORBATITA Nº83 25X400 GR,ALIMENTOS,FIDEOS,CORBATITAS,CAROZZI,CORBATITAS,BOLSA,FIDEOS,CORBATITAS N 83 CAROZZI 400GR,EMPRESAS CAROZZI S.A.
Z. LUCSA SPAGHETTI Nº 5 1X5KG,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. F.LUCHETTI 12X1 KILO,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
F.LUCCHE.CABELLO LARGO 25X400 NRO.1,ALIMENTOS,FIDEOS,CABELLOS DE ANGEL,LUCCHETTI,CABELLO ANGEL LARGO,BOLSA,FIDEOS,CABELLO DE ANGEL LARGO LUCCHETTI 400GR,LUCCHETTI CHILE S.A.
Z.F.LUCCHE.LETRITAS 48X250,ALIMENTOS,FIDEOS,ESPECIALIDADES,LUCCHETTI,LETRITAS,BOLSA,FIDEOS,,LUCCHETTI CHILE S.A.
Z. F.GRANEL LUCCHETTI N°1  5 KL.,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,ITALPASTA S.A
F.LUCCHE.30/400 N°31 DEDALITOS,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCSA C.ANGEL LARGO 1X5KG,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
LUCCHETTI 30/400 N°36 CARACOLES,ALIMENTOS,FIDEOS,CARACOLES,LUCCHETTI,CARACOLITOS,BOLSA,FIDEOS,CARACOLES N 35 LUCCHETTI 400GR,LUCCHETTI CHILE S.A.
Z. LUCSA TALL 77 1X5KG,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. F.GRANEL N°88 LUCCHETTI 5 KL.,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
F.LUCCHE.25/400 N°77 TALLARIN,ALIMENTOS,FIDEOS,SPAGHETTI,LUCCHETTI,SPAGHETTI N°77,BOLSA,FIDEOS,SPAGHETTI N 77 LUCCHETTI 250GR,LUCCHETTI CHILE S.A.
FIDEO NAPOLI N°77 TALLARIN 25X400 GR,ALIMENTOS,FIDEOS,SPAGHETTI,NAPOLI,SPAGHETTI N°77,BOLSA,FIDEOS,,LUCCHETTI CHILE S.A.
Z. F.NAPOLI 20/400 N°56 ESPIRALES,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
Z. F.NAPOLI 20/400 CABELLO LARGO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
Z. F.NAPOLI 20/400 N°51 CAB.CORTO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
Z. ACEITE SPRINGFIELD 12X900,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,SIN MARCA,,,,,AGROCOMERCE S.A
Z. F.NAPOLI 20/400 N°42 MOSTACHOLI,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,ITALPASTA S.A
Z. F.NAPOLI 20/400 N°33 QUIFARO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
Z. F.NAPOLI 20/400 N°31 DEDALITO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,ITALPASTA S.A
Z. FID. PARMA CABELLO DE ANGEL 25X400 GR,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA SPAGHETTI Nº3 25X400 GR,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
FIDEO PARMA TALLARIN Nº87 25X400 GR,ALIMENTOS,FIDEOS,SPAGHETTI,PARMA,SPAGHETTI N°87,BOLSA,FIDEOS,SPAGHETTI N 87 PARMA 400GR,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA GRANEL N°97 TALLARIN 10/1,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. FIDEO PARMA GRANEL N°2 CABELLO LARGO,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA TALLARIN Nº97 25X400 GR,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA GRANEL N°47 QUIFAROS,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. FIDEO PARMA GRANEL N°49 ESPIRALES,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. F.GRANELPASTINASLUCHETTI5KGSMARIA-LET,ALIMENTOS,FIDEOS,PASTINAS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCSA ESPIRIRALES 1X5KG,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCSA CORBATAS 1X5KG,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. F.LUCHETTIGRANELN35 CARACOLITOS,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. F.PARMA 25/400,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA 25/400 N°46 MOSTACHOLI,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z.FIDEO PARMA 25/400 N°48 RIGATONI,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. FIDEO PARMA CABELLO DE ANGEL 30X400,ALIMENTOS,FIDEOS,GUISOS,PARMA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA PASTINAS 20/250 N°76 ESTR,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. LIMPIADOR SAPOLIO LAVANDA 24X250 CC,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,SAPOLIO,,,,,KLENZO LTDA
DESOD.AMB.SAPOLIO SURTIDO 12X360 CC,ASEO Y LIMPIEZA,AMBIENTALES,DESODORANTE AMBIENTAL,SAPOLIO,,,AMBIENTALES,,KLENZO LTDA
Z. MERMELADA MALLOA MORA 24/250,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,MALLOA,MORA,SACHET,DULCES Y MERMELADAS,MERMELADA MORA MALLOA 250GR,UNILEVER CHILE LIMITADA.
KLENZO MULTIUSO POLVO 40X500,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,DESENGRASANTES,KLENZO,,,,,KLENZO LTDA
Z. LEVADURA LEFERSA 16X10X20 GRS.,ABARROTES BASICOS Y MASCOTAS,HARINAS,LEVADURAS Y POLVOS DE HORNEAR,LEFERSA,,,,,SERVICIOS APIS LDTA
MERMELADA WATTS FRUTILLA 12X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,FRUTILLA,SACHET,DULCES Y MERMELADAS,MERMELADA FRUTILLA WATTS 250GR (1),DIWATTS S.A
Z. MERMELADA MALLOA DURAZNO 24/250,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,MALLOA,DURAZNO,SACHET,DULCES Y MERMELADAS,MERMELADA DURAZNO MALLOA 250GR,UNILEVER CHILE LIMITADA.
Z. MERMELADA WATT S VASO DAMASCO-DURAZNO,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,DULCES,SIN MARCA,,,,,DIWATTS S.A
Z. ACEITE LA REINA 12X1 LT,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,REINA,,BOTELLA,ACEITE,,DIWATTS S.A
MERMELADA WATTS MORA LIGHT 24X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,MORA,SACHET,DULCES Y MERMELADAS,MERMELADA MORA WATTS 250GR (1),DIWATTS S.A
MERMELADA WATTS DURAZNO LIGHT 24X250GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,DURAZNO,SACHET,DULCES Y MERMELADAS,MERMELADA DURAZNO WATTS 250GR (2),DIWATTS S.A
Z. MERMELADA WATT S MORA 24X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,DULCES Y MERMELADAS,,DIWATTS S.A
Z. MERMELADA WATT S DURAZNO 24X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,DURAZNO,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
Z. MERMELADA WATT S GUINDA 24X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,,,DIWATTS S.A
Z. MERMELADA WATT S ALCAYOTA 24X250 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,DULCES Y MERMELADAS,,DIWATTS S.A
MERMELADA WATTS CIRUELA 24X250 G,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,DULCES Y MERMELADAS,,DIWATTS S.A
Z. MERMELADA MALLOA DAMASCO DIET 24X250,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,MALLOA,SIN AZUCAR DAMASCO,SACHET,DULCES Y MERMELADAS,MERMELADA SIN AZUCAR DAMASCO MALLOA 250GR,UNILEVER CHILE LIMITADA.
Z. MERMELADA DOS CABALLOS MORA 24/250,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,SIN MARCA,,,,,CONSERVERA PENTZKE S.A.
Z. ACEITE VEGETAL IBIAN 12X1,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,SIN MARCA,,,,,COMERCIALIZADORA AUSTRAL TRADING SPA
ACEITE IBIAN 12X900 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,IBIAN,,BOTELLA,ACEITE,,AGROCOMERCE S.A
ACEITE VEGETAL BONANZA 12X1 LT,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,BONANZA,,BOTELLA,ACEITE,ACEITE VEGETAL BONANZA 1LT,AGROCOMERCE S.A
Z. P. DESO.EGO SPRAY BLACK 6/140,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.EGO SPRAY BROWN REED 6/140,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.EGO STICK BLACK 12/53,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,EGO,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.EGO STICK BROWN 12/50,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,EGO,,,,,UNILEVER CHILE LIMITADA.
Z. IMPULSE TIARE 12X75 CC,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,IMPULSE,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.IMPULSE 17 12/90,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.IMPULSE MEMORIE 12/90,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.IMPULSE YOU 12/75,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.REXONA SPRAY FEME 12/140,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.REXONA SPRAY CIT/FR 12/14,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.REXONA SPRAY ACUA12/140,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. AFTER SHAVE EGO BROWN 6/75,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. AFTER SHAVE EGO BLACK 6/75,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. COLONIA PATRICHS 6X100,CUIDADO PERSONAL,PERFUMERIA,COLONIAS,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. COLONIA DENIM 6/75 FIRE,CUIDADO PERSONAL,PERFUMERIA,COLONIAS,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SH. SEDAL MIX 2 SCH. 4X24X15ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SEDAL,,,,,UNILEVER CHILE LIMITADA.
Z. P. SH.SEDAL COL VIT 12X200,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SEDAL,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO TIMOTEI SACHET 40/20,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO SEDAL CERAMIDA 12X400,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SEDAL,,,,,UNILEVER CHILE LIMITADA.
Z. P. BALSAMO TIMOTEI SACHET 40/20,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,TIMOTEI,,,,,UNILEVER CHILE LIMITADA.
Z. P. SH.BALLERINA FRUTILLA 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. SH.BALLERINA ALGAS MARINAS 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. SH.BALLERINA HERBAL 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. SH.BALLERINA HUEVO 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. SH. BALLERINA FOR MEN 50X60 GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. SH.BALLERINA QUILLAY 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. SH.BALLERINA MULTIVITAMINA 50X60,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. BALSAMO BALLERINA 50/60 CREMA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
Z. P. BALSAMO BALLERINA 50/60 HIERBAS,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,BALLERINA,,,,,LABORATORIO BALLERINA LTDA.
ACOND.BALLERINA MIXTO 50X60 GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADORES,BALLERINA,MIXTO,SACHET,PRODUCTOS BALLERINA,ACONDICIONADOR MIXTO BALLERINA 60GR,LABORATORIO BALLERINA LTDA.
Z. P.BABYSAN UL.RECIEN NACIDO 20X24,CUIDADO PERSONAL,PANALES,PANALES,SIN MARCA,,,,,BORRAR
Z. P.PAMPERS MEDIANO X36,CUIDADO PERSONAL,PANALES,PANALES,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. JABON CAMAY DISPLAY 6/12/100,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. JABON LE SANCY 60/200 COLOGNE-MUSK,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LE SANCY 60/200 ROSIER -VIOL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LE SANCY 60/200 MARINE,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LE SANCY JUNIOR 60/140 FOURG,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LE SANCY JUNIOR 60/140 POESI,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LE SANCY JUNIOR 60/140 SILVE,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON SOL STANDAR 60/90,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LUX 72/90 ROSADO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LUX 72/90 VERDE,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON LUX 72/90 BLANCO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. JABON REXONA 72/90 CITRUS FRESH,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. PASTA DENTAL ODONTINE 110 GEL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. PASTA DENTAL ODONTINE M.S.36/134,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. PASTA DENTAL ODONTINE 55 GEL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. PASTA DENTAL ODONTINE 60/47 M.SUAV,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. SHAMPOO TIMOTEI PLUS 18X220,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO ORGANIC SACHET 12X24X10,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.IMPULSE ESTUCHE 12X94,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO.IMPULSE PROMOCION 12X94,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO LINIC 12/250 NORMAL-GRASO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SH. LINICMENTHOL 12X250,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO LINIC 12/450 NORMAL A GRAS,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
